text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:23,FALSE,NA,5.25654E+17,NA,"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>",princenaga143,10,TRUE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:19,FALSE,NA,5.25653E+17,NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>",SupportIPL,10,TRUE,FALSE,NA,NA
@lionsdenkxip WRIDDHIMAN SAHA,FALSE,1,lionsdenkxip,10/24/2014 14:19,FALSE,5.25651E+17,5.25653E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",amitloura44,0,FALSE,FALSE,NA,NA
@AayushVarma18 @lionsdenkxip http://t.co/RjjTW4tpu5,FALSE,0,AayushVarma18,10/24/2014 14:18,FALSE,5.25652E+17,5.25652E+17,2485349550,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SKY_KATHIR,0,FALSE,FALSE,NA,NA
@lionsdenkxip http://t.co/RjjTW4tpu5,FALSE,0,lionsdenkxip,10/24/2014 14:18,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SKY_KATHIR,0,FALSE,FALSE,NA,NA
RT @lionsdenkxip: #GuessTheSher Which SHER got hit on the helmet but continued batting during a CLT20 game? http://t.co/3YW3o1fAab,FALSE,0,NA,10/24/2014 14:17,FALSE,NA,5.25652E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",San29d,10,TRUE,FALSE,NA,NA
@lionsdenkxip Thisira Perera :),FALSE,0,lionsdenkxip,10/24/2014 14:16,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",chaitanyastweet,0,FALSE,FALSE,NA,NA
@lionsdenkxip saha,FALSE,0,lionsdenkxip,10/24/2014 14:16,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kranthireddy519,0,FALSE,FALSE,NA,NA
@lionsdenkxip shah,FALSE,0,lionsdenkxip,10/24/2014 14:16,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",maheshactivist,0,FALSE,FALSE,NA,NA
@lionsdenkxip VIRENDRA SEHWAAG,FALSE,0,lionsdenkxip,10/24/2014 14:15,FALSE,5.25651E+17,5.25652E+17,30631766,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ashadhero,0,FALSE,FALSE,NA,NA
